side,id,chave,latency_ms,visitados,arestas_sub,n_laranjas,n_saque,laranjas_reais,laranjas_acertadas,saque_reais,saque_acertadas
rust,12,b44ac05f-11ff,134.26940000000002,17447,19316,14,2,13,13,2,2
rust,26,5f6de937-5a84,37.6659,2868,3112,16,2,15,15,2,2
rust,34,0343ce6e-fda7,45.0445,21236,21977,16,2,17,16,2,2
rust,47,31970395620,47.2198,30380,35082,28,2,16,15,2,2
rust,93,71940001300,19.2865,2146,2267,17,2,17,17,2,2
rust,96,31986549653,40.2471,27348,28938,12,2,12,12,2,2
rust,103,pedro7578@gmail.com,18.513,12603,12841,16,2,15,15,2,2
rust,125,81964358979,27.227,9484,9790,17,2,17,17,2,2
rust,129,276902bb-8cd8,23.8247,6114,6400,13,2,12,12,2,2
rust,167,71951773308,27.7997,13425,13947,18,2,18,17,2,2
rust,168,a9d5b4d1-dfe3,28.1771,14223,14490,13,2,15,13,2,2
rust,170,pedro7755@gmail.com,25.6212,23458,24581,16,2,16,16,2,2
rust,171,11906438709,33.4676,25294,26837,18,2,17,16,2,2
rust,181,51966230965,25.120900000000002,4394,4825,14,2,14,14,2,2
rust,224,71907494630,18.5064,1655,1772,14,2,14,14,2,2
rust,227,71940001300,22.6771,2146,2267,17,2,17,17,2,2
rust,236,0323fbc5-d070,34.012800000000006,23827,25078,16,2,18,16,2,2
rust,253,31970395620,36.9944,30380,35082,28,2,16,15,2,2
rust,301,bruno7282@gmail.com,25.1699,14670,15095,18,2,18,18,2,2
rust,320,marcos5780@gmail.com,17.581200000000003,10304,10484,18,1,17,17,2,1
rust,352,lucas7210@gmail.com,27.541,12538,12716,17,2,17,17,2,2
rust,361,923bff68-9488,7.1957,252,265,12,2,12,12,2,2
rust,364,a9d5b4d1-dfe3,26.9343,14223,14490,13,2,15,13,2,2
rust,383,71951773308,27.8298,13425,13947,18,2,18,17,2,2
rust,389,51942117050,16.7847,10782,10908,14,2,14,14,2,2
rust,400,31966438321,17.9236,9120,9550,14,2,14,14,2,2
